drain_t TotalCurrent(IdVg_VdSat_n1109_des) X,drain_t TotalCurrent(IdVg_VdSat_n1109_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1045_des) X,drain_t TotalCurrent(IdVg_VdSat_n1045_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1125_des) X,drain_t TotalCurrent(IdVg_VdSat_n1125_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1061_des) X,drain_t TotalCurrent(IdVg_VdSat_n1061_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1141_des) X,drain_t TotalCurrent(IdVg_VdSat_n1141_des) Y,drain_t TotalCurrent(IdVg_VdSat_n865_des) X,drain_t TotalCurrent(IdVg_VdSat_n865_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1157_des) X,drain_t TotalCurrent(IdVg_VdSat_n1157_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1077_des) X,drain_t TotalCurrent(IdVg_VdSat_n1077_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1173_des) X,drain_t TotalCurrent(IdVg_VdSat_n1173_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1093_des) X,drain_t TotalCurrent(IdVg_VdSat_n1093_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1189_des) X,drain_t TotalCurrent(IdVg_VdSat_n1189_des) Y,drain_t TotalCurrent(IdVg_VdSat_n622_des) X,drain_t TotalCurrent(IdVg_VdSat_n622_des) Y
0.2185512,1.03E-08,0.21809157,1.02E-08,0.21788214,9.27E-09,0.2185512,8.98E-09,0.2185512,8.87E-09,0.2185512,8.96E-09,0.2185512,9.33E-09,0.2185512,9.65E-09,0.2185512,1.02E-08,0.2185512,1.06E-08,0.21832139,1.10E-08,0.21832139,1.14E-08
0.2335512,1.68E-08,0.23309157,1.65E-08,0.23288214,1.52E-08,0.2335512,1.49E-08,0.2335512,1.49E-08,0.2335512,1.52E-08,0.2335512,1.58E-08,0.2335512,1.64E-08,0.2335512,1.73E-08,0.2335512,1.80E-08,0.23332139,1.86E-08,0.23332139,1.93E-08
0.2485512,2.71E-08,0.24809157,2.69E-08,0.24788214,2.50E-08,0.2485512,2.47E-08,0.2485512,2.49E-08,0.2485512,2.56E-08,0.2485512,2.67E-08,0.2485512,2.79E-08,0.2485512,2.92E-08,0.2485512,3.04E-08,0.24832139,3.13E-08,0.24832139,3.23E-08
0.2635512,4.36E-08,0.26309157,4.35E-08,0.26288214,4.09E-08,0.2635512,4.09E-08,0.2635512,4.15E-08,0.2635512,4.31E-08,0.2635512,4.48E-08,0.2635512,4.69E-08,0.2635512,4.90E-08,0.2635512,5.08E-08,0.26332139,5.22E-08,0.26332139,5.36E-08
0.2785512,6.96E-08,0.27809157,7.00E-08,0.27788214,6.66E-08,0.2785512,6.74E-08,0.2785512,6.88E-08,0.2785512,7.18E-08,0.2785512,7.46E-08,0.2785512,7.82E-08,0.2785512,8.14E-08,0.2785512,8.42E-08,0.27832139,8.61E-08,0.27832139,8.82E-08
0.2935512,1.10E-07,0.29309157,1.12E-07,0.29288214,1.08E-07,0.2935512,1.10E-07,0.2935512,1.13E-07,0.2935512,1.18E-07,0.2935512,1.23E-07,0.2935512,1.29E-07,0.2935512,1.34E-07,0.2935512,1.38E-07,0.29332139,1.40E-07,0.29332139,1.44E-07
0.3085512,1.71E-07,0.30809157,1.77E-07,0.30788214,1.72E-07,0.3085512,1.77E-07,0.3085512,1.83E-07,0.3085512,1.92E-07,0.3085512,2.00E-07,0.3085512,2.08E-07,0.3085512,2.16E-07,0.3085512,2.22E-07,0.30832139,2.26E-07,0.30832139,2.30E-07
0.3235512,2.57E-07,0.32309157,2.72E-07,0.32288214,2.68E-07,0.3235512,2.80E-07,0.3235512,2.91E-07,0.3235512,3.04E-07,0.3235512,3.17E-07,0.3235512,3.29E-07,0.3235512,3.40E-07,0.3235512,3.49E-07,0.32332139,3.54E-07,0.32332139,3.61E-07
0.3385512,3.78E-07,0.33809157,4.09E-07,0.33788214,4.08E-07,0.3385512,4.27E-07,0.3385512,4.46E-07,0.3385512,4.65E-07,0.3385512,4.85E-07,0.3385512,5.02E-07,0.3385512,5.17E-07,0.3385512,5.30E-07,0.33832139,5.37E-07,0.33832139,5.47E-07
0.3535512,5.84E-07,0.35309157,6.23E-07,0.35288214,6.25E-07,0.3535512,6.57E-07,0.3535512,6.83E-07,0.3535512,7.08E-07,0.3535512,7.33E-07,0.3535512,7.54E-07,0.3535512,7.74E-07,0.3535512,7.91E-07,0.35332139,8.01E-07,0.35332139,8.16E-07
